"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[12.0, 0.0], [0.0, 8.0], [-12.0, 0.0], [0.0, -8.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[5.0, 0.0], [10.0, 0.0], [10.0, 10.0], [0.0, 10.0], [0.0, 5.0], [5.0, 5.0]]","[[12.0, -6.0], [12.0, -1.0], [7.0, 2.333], [7.0, 4.0], [1.0, 8.0], [-4.0, 8.0], [-10.0, 4.0], [-10.0, -6.0], [-4.0, -10.0], [6.0, -10.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [6.0, 0.0], [4.0, 2.0], [4.0, 4.0], [6.0, 6.0], [0.0, 6.0], [2.0, 4.0], [2.0, 2.0]]","[[12.0, -2.0], [10.0, 0.0], [10.0, 2.0], [12.0, 4.0], [6.0, 8.0], [0.0, 8.0], [-6.0, 4.0], [-4.0, 2.0], [-4.0, 0.0], [-6.0, -2.0], [0.0, -6.0], [6.0, -6.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [8.0, 0.0], [6.0, 2.0], [6.0, 6.0], [8.0, 8.0], [0.0, 8.0], [2.0, 6.0], [2.0, 2.0]]","[[12.0, -4.0], [10.0, -2.0], [10.0, 2.0], [12.0, 4.0], [6.0, 8.0], [-2.0, 8.0], [-8.0, 4.0], [-6.0, 2.0], [-6.0, -2.0], [-8.0, -4.0], [-2.0, -8.0], [6.0, -8.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [10.0, 0.0], [8.0, 2.0], [8.0, 8.0], [10.0, 10.0], [0.0, 10.0], [2.0, 8.0], [2.0, 2.0]]","[[12.0, -6.0], [10.0, -4.0], [10.0, 2.0], [12.0, 4.0], [6.0, 8.0], [-4.0, 8.0], [-10.0, 4.0], [-8.0, 2.0], [-8.0, -4.0], [-10.0, -6.0], [-4.0, -10.0], [6.0, -10.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [6.0, 0.0], [6.0, 6.0], [4.0, 6.0], [4.0, 2.0], [2.0, 2.0], [2.0, 6.0], [0.0, 6.0]]","[[3.0, -5.333], [4.0, -6.0], [6.0, -6.0], [12.0, -2.0], [12.0, 4.0], [6.0, 8.0], [0.0, 8.0], [-6.0, 4.0], [-6.0, -2.0], [0.0, -6.0], [2.0, -6.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [8.0, 0.0], [8.0, 8.0], [6.0, 8.0], [6.0, 2.0], [2.0, 2.0], [2.0, 8.0], [0.0, 8.0]]","[[2.0, -6.667], [4.0, -8.0], [6.0, -8.0], [12.0, -4.0], [12.0, 4.0], [6.0, 8.0], [-2.0, 8.0], [-8.0, 4.0], [-8.0, -4.0], [-2.0, -8.0], [0.0, -8.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [10.0, 0.0], [10.0, 10.0], [8.0, 10.0], [8.0, 2.0], [2.0, 2.0], [2.0, 10.0], [0.0, 10.0]]","[[1.0, -8.0], [4.0, -10.0], [6.0, -10.0], [12.0, -6.0], [12.0, 4.0], [6.0, 8.0], [-4.0, 8.0], [-10.0, 4.0], [-10.0, -6.0], [-4.0, -10.0], [-2.0, -10.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [12.0, 0.0], [6.0, 12.0]]","[[6.0, -8.0], [12.0, 4.0], [6.0, 8.0], [-6.0, 8.0], [-12.0, 4.0], [-6.0, -8.0], [0.0, -12.0]]"
"[[0.0, 4.0], [6.0, 0.0], [12.0, 4.0], [6.0, 8.0]]","[[0.0, 0.0], [8.0, 0.0], [4.0, 8.0]]","[[8.0, -4.0], [12.0, 4.0], [6.0, 8.0], [-2.0, 8.0], [-8.0, 4.0], [-4.0, -4.0], [2.0, -8.0]]"
